# Avellaneda-Stoikov (2008) vs Imbalance-Aware (2018)

Step,Inventory Avellaneda,PnL Avellaneda,Inventory Imbalance,PnL Imbalance

0,0,0,0,0
5,0,0,0,0
10,0,0,0,0
15,0,20.4,0,20.4
20,0,40.8,0,30.7
25,0,61.3,0,51.1
30,0,92.2,0,81.7
35,0,112.8,0,102.1
40,0,133.3,0,122.6
45,0,153.7,0,143.2
50,0,184.3,0,174.1
55,0,204.8,0,194.6
60,0,225.4,0,215.2
65,-10,251.1,0,235.6
70,-10,261.1,0,256.1
75,0,276.3,-10,1273.4
80,0,276.3,-10,271.15
85,0,296.9,-10,291.8
90,0,317.3,-10,312.5
95,0,337.6,-30,334.15
100,0,358.1,-30,354.9
105,0,378.6,-30,376.05
110,0,409.5,-30,396.45
115,0,430,-30,426.3
120,4,452.34,-30,446.55
125,4,473,-30,466.6
130,4,493.36,-30,487.3
135,4,503.56,-30,507.7
140,15,509.825,-30,516.85
145,5,535.05,-30,547
150,5,555.575,-30,566.75
155,5,576,-20,581.3
160,5,596.4,-20,612.2
165,5,626.925,-20,633
170,5,647.325,-10,647.95
175,5,677.925,-10,678.55
180,5,698.35,-10,698.9
185,5,728.925,-10,729.65
190,5,749.325,-10,750.05
195,5,779.925,-10,780.65
200,5,800.3,-10,801.1
205,5,820.775,-10,821.35
210,5,851.3,-10,842
215,5,871.825,0,867
220,5,902.425,0,887.4
225,5,922.825,0,918
230,5,953.45,9,932.77
235,5,973.85,9,952.97
240,5,994.175,9,973.335
245,5,1024.92,9,1004.21
250,5,1045.37,9,1014.6
255,5,1075.97,9,1045.5
260,5,1096.32,19,1060.66
265,5,1106.65,10,1066.57
270,5,1137.25,0,1091.77
275,5,1157.65,0,1112.17
280,5,1188.25,0,1132.57
285,5,1208.65,0,1163.17
290,5,1239.3,0,1183.57
295,5,1259.37,0,1204.07
300,5,1279.67,0,1214.27
305,5,1300.02,10,1229.52
310,5,1320.4,20,1255.37
315,5,1351.02,12,1271.43
320,5,1371.42,12,1302.33
325,5,1391.87,2,1317.5
330,5,1412.3,2,1338.01
335,5,1432.67,-18,1348.8
340,5,1463.27,-18,1369.4
345,5,1483.67,-38,1391.8
350,5,1514.47,-38,1401.08
355,5,1534.82,-38,1401.46
360,5,1565.42,-38,1421.86
365,5,1585.35,-28,1438.67
370,5,1615.95,-28,1469.57
375,5,1636.32,-18,1484.36
380,5,1656.72,-18,1515.26
385,5,1687.32,-18,1535.86
390,5,1707.75,-28,1561.97
395,5,1738.35,-28,1582.37
400,5,1758.72,-28,1613.41
405,5,1779.1,-28,1634.15
410,5,1799.57,-38,1659.78
415,5,1830.17,-38,1680.18
420,5,1850.57,-38,1700.58
425,5,1870.8,-38,1722.11
430,5,1891.2,-38,1742.71
435,5,1921.8,-28,1767.41
440,5,1932.1,-28,1777.05
445,5,1962.57,-28,1808.35
450,5,1982.97,-38,1824.4
455,5,2013.58,-38,1855
460,5,2033.9,-28,1869.97
465,5,2054.25,-28,1880.45
470,5,2074.63,-28,1900.79
475,5,2105.2,-28,1911.13
480,5,2125.6,-28,1941.83
485,5,2156.18,-38,1948.02
490,5,2176.55,-38,1968.71
495,5,2206.92,-38,1990.92
500,5,2227.32,-38,2011.52
505,5,2247.75,-38,2031.63
510,5,2278.33,-48,2048.07
515,5,2298.7,-48,2079.01
520,5,2329.3,-48,2099.61
525,5,2349.7,-48,2130.51
530,5,2380.3,-48,2151.11
535,5,2400.7,-48,2181.91
540,5,2431.3,-48,2202.31
545,5,2451.68,-48,2233.15
550,5,2472.08,-48,2253.55
555,5,2502.72,-58,2279.92
560,5,2523.12,-58,2300.42
565,5,2553.7,-58,2321.21
570,5,2574.07,-48,2335.15
575,5,2604.67,-48,2355.55
580,5,2625.07,-48,2386.45
585,5,2655.62,-38,2400.98
590,5,2675.92,-38,2422.34
595,5,2706.52,-38,2452.94
600,5,2726.92,-38,2473.34
605,5,2757.52,-38,2503.94
610,5,2777.92,-38,2524.34
615,5,2808.52,-38,2554.94
620,5,2828.92,-38,2575.34
625,5,2859.67,-38,2594.7
630,5,2879.92,-38,2616.24
635,5,2900.47,-38,2635.5
640,5,2931.1,-38,2655.71
645,5,2951.47,-38,2676.3
650,5,2971.87,-48,2692.85
