# Avellaneda-Stoikov Bot vs Stoikov Micro-Price Bot

Step,AS Inventory,AS PnL,SMP Inventory,SMP PnL

0,0,0,0,0
5,0,0,0,0
10,10,4.5,10,4.6
15,10,4.75,10,4.85
20,10,4.6,10,4.7
25,10,5,10,5.1
30,10,5.05,10,5.15
35,10,5.3,10,5.4
40,10,5.2,10,5.3
45,10,5.2,10,5.3
50,10,5,10,5.1
55,10,5,10,5.1
60,10,5.15,10,5.25
65,10,5.15,10,5.25
70,10,5.15,10,5.25
75,10,5.3,10,5.4
80,10,5.3,10,5.4
85,10,5.3,10,5.4
90,10,5.35,10,5.45
95,10,5.35,10,5.45
100,10,5.35,10,5.45
105,10,5.3,10,5.4
110,10,5.65,10,5.75
115,10,5.8,10,5.9
120,10,5.8,10,5.9
125,10,5.35,10,5.45
130,10,5.75,10,5.85
135,10,5.85,10,5.95
140,10,5.9,10,6
145,10,6.05,10,6.15
150,10,6.05,10,6.15
155,10,5.75,10,5.85
160,10,5.75,10,5.85
165,10,5.7,10,5.8
170,10,5.65,10,5.75
175,10,5.65,10,5.75
180,10,5.65,10,5.75
185,10,5.7,10,5.8
190,10,5.7,10,5.8
195,10,5.45,10,5.55
200,10,5.45,10,5.55
205,10,5.35,10,5.45
210,10,5.3,10,5.4
215,10,5.15,10,5.25
220,10,5.1,10,5.2
225,10,5.05,10,5.15
230,10,5.05,10,5.15
235,10,4.95,10,5.05
240,10,4.95,10,5.05
245,10,4.8,10,4.9
250,10,4.8,10,4.9
255,10,4.8,10,4.9
260,10,4.75,10,4.85
265,10,4.75,10,4.85
270,10,4.75,10,4.85
275,10,4.75,10,4.85
280,10,4.7,10,4.8
285,10,4.7,10,4.8
290,10,4.7,10,4.8
295,10,4.7,10,4.8
300,10,4.75,10,4.85
305,10,4.55,10,4.65
310,10,4.55,10,4.65
315,10,4.55,10,4.65
320,10,4.4,10,4.5
325,10,4.4,10,4.5
330,10,3.65,10,3.75
335,10,3.65,10,3.75
340,10,3.45,10,3.55
345,10,4.45,10,4.55
350,10,4.45,10,4.55
355,10,3.05,10,3.15
360,10,2.25,10,2.35
365,10,2.25,10,2.35
370,10,2.25,10,2.35
375,10,2.15,10,2.25
380,10,2.15,10,2.25
385,10,2.2,10,2.3
390,10,2.1,10,2.2
395,10,2.05,10,2.15
400,10,1.95,10,2.05
405,10,2.2,10,2.3
410,10,3.6,10,3.7
415,10,3.6,10,3.7
420,10,3.65,10,3.75
425,10,3.65,10,3.75
430,10,3.65,10,3.75
435,10,3.6,10,3.7
440,10,3.55,10,3.65
445,10,3.55,10,3.65
450,10,3.55,10,3.65
455,10,3.5,10,3.6
460,10,1.15,10,1.25
465,10,1.15,10,1.25
470,10,1.15,10,1.25
475,10,1.15,10,1.25
480,10,1.15,10,1.25
485,10,1.45,10,1.55
490,10,1.35,10,1.45
495,10,1.3,10,1.4
500,10,1.2,10,1.3
505,10,1.15,10,1.25
510,10,0.85,10,0.95
515,10,0.85,10,0.95
520,10,0.85,10,0.95
525,10,0.85,10,0.95
530,10,0.85,10,0.95
535,10,0.85,10,0.95
540,10,0.9,10,1
545,10,0.85,10,0.95
550,10,0.8,10,0.9
555,10,0.8,10,0.9
560,10,0.75,10,0.85
565,10,0.75,10,0.85
570,10,0.5,10,0.6
575,10,0.55,10,0.65
580,10,0.55,10,0.65
585,10,0.55,10,0.65
590,10,0.55,10,0.65
595,10,0.55,10,0.65
600,10,0.25,10,0.35
605,10,0.05,10,0.15
610,10,0.15,10,0.25
615,10,0.15,10,0.25
620,10,0.25,10,0.35
625,10,0.25,10,0.35
630,10,0.15,10,0.25
635,10,0.2,10,0.3
640,10,0.6,10,0.7
645,10,0.2,10,0.3
650,10,0.2,10,0.3
655,10,0.2,10,0.3
660,10,0.2,10,0.3
665,10,0.5,10,0.6
670,10,0.6,10,0.7
675,10,0.55,10,0.65
680,10,-0.3,10,-0.2
685,10,-0.35,10,-0.25
690,10,-0.45,10,-0.35
695,10,-0.55,10,-0.45
700,10,-0.4,10,-0.3
705,10,-0.4,10,-0.3
710,10,-0.4,10,-0.3
715,10,-0.45,10,-0.35
720,10,-0.45,10,-0.35
725,10,-0.55,10,-0.45
730,10,-0.65,10,-0.55
735,10,-0.45,10,-0.35
